MutationType	SBS80A	SBS80B	SBS80C	SBS80D	SBS80E	SBS80F	SBS80G	SBS80H	SBS80I	SBS80J	SBS80K	SBS80L	SBS80M	SBS80N	SBS80O	SBS80P	SBS80Q
NC50[7]	7.578165707542439e-06	3.5184001116874694e-05	2.2686257598252268e-05	0.00032045970772742293	5.8375807930133305e-06	5.556528017116591e-05	1.5534475751088904e-07	0.0	0.00018236014608101093	0.00021560447918204774	1.2282472835383196e-05	0.0005263948251825923	8.72474082522956e-05	9.368167710883667e-06	3.9221621829188534e-06	5.158808409447602e-05	1.6333070776255453e-05
NC50[>7]	2.2855040942886262e-05	4.325808032317191e-06	6.060242100036639e-07	4.991764805630794e-05	2.0157007005972004e-07	1.0082554424641899e-05	4.145292318881166e-06	0.0	6.423723216651744e-05	8.30903513686887e-05	3.946977233937332e-10	0.00010268576466711643	2.1403454600585903e-05	6.317589902273823e-06	2.3353591158681297e-06	2.166705181361639e-05	5.540878333128996e-05
BoChr[1]	3.05908653914333e-06	0.0030767943805417274	0.0048001747077758596	0.009512980836096769	0.011912380781897465	0.0011675596632558438	0.0019914602256649516	0.0016564698721881583	0.0017410600499885476	0.011725725170646654	0.00919133604269078	0.006754080424592814	8.172581906990217e-05	0.237434464632679	0.02112521288943598	0.02840307462773872	0.020234294485322345
BoChr[2]	2.663606814875208e-05	0.004835634308384939	0.003394089134534113	0.024633038168758503	0.01843974112706661	0.00016341506037861108	0.003979962122539291	0.0	0.00353872807246983	0.004295823689130884	0.006563267461636073	0.031905335236795306	0.01593694618659713	0.00858851679135114	4.888832051051395e-05	0.007305568363517523	0.0008111108094453811
BoChr[3]	0.00010219851423799664	0.0040833224249638535	0.002283137288610675	0.012938517313629631	0.019792083604519915	0.0002566452293359589	0.004686806817163358	0.0001311994743475964	0.008521138140211023	0.005134627262532376	0.024618587864090387	0.025606235386525213	0.013707704482550724	0.02055955802789839	0.00028692570730754597	0.01269229668781179	0.00380487313189959
BoChr[4]	8.626031264835631e-09	0.0009701227053627948	0.00305162574222777	0.006526928955905207	0.00407494541265205	0.0006952891970291475	0.0056045230385893775	0.0020924015740044067	0.006004059155366122	0.004743710480688619	0.015524643205212255	0.034194397406881766	0.008664738448164613	0.019459536375561585	0.027752679726266098	0.003805381615444503	0.008404103363864124
BoChr[5]	4.1513469045240115e-07	0.0005849195553061912	0.001523127220904712	0.006678240684380618	0.001959682157280511	0.0012342890654508665	0.002354100708618461	0.0063335400693513575	0.0048840498624116435	0.0014404000370984704	0.03997853385357292	0.03320822208975187	0.00047087966891751876	0.06538806569576763	0.005897328052219564	0.01463457212432786	0.006613176691888612
BoChr[6]	9.917120615458019e-06	0.0011069431686366693	0.011318104517695247	0.006641264963400766	0.005941238536442342	0.0013058347688343019	0.00442043960019264	0.0015565613411060663	0.005350479847470739	0.0073831076476759	0.004720587007173656	0.04786368463215908	0.038178345733658574	0.035397589684858774	0.006571585480544968	0.04235247633063494	0.018309473714076603
BoChr[7]	2.524635888826232e-05	0.0009994147355586696	0.0017263872173245431	0.004079310544847603	0.006417778068547372	0.0008657158703209689	0.00026910810536268315	0.0002622768405631759	0.0037193778260629527	0.0047016532586435745	0.026264894682018456	0.02690453373012872	0.0010421761230161267	0.0740520937156198	0.027012338163567618	0.046108699963792785	0.02261771075134668
BoChr[8]	2.008576139456153e-07	0.00015206478884579154	0.0010102903518352591	0.004559041263348853	0.0012001692607395255	0.00031072636684715605	0.0004426866253029742	0.00031066025184651845	0.0003832434408367891	0.0036005612824784672	0.00035716258226639526	9.499234077775754e-05	0.0001092095618213622	3.480560828091228e-05	0.43471750847995283	0.00018042180754326975	8.45123539836834e-05
BoChr[9]	3.8527046054559476e-07	0.0007345290742182476	0.008526358511298895	0.0015893579470181815	0.007015633212080843	0.0056704812723683065	0.005114505686769633	0.00027066493016143057	0.007232544458906667	0.008892336450687502	0.002126449164255746	0.01411126875739452	0.011265164470834178	0.010445777098643418	0.0013228844886180014	0.005916094317362877	0.031872578399488705
BoChr[10]	1.1983670834552206e-05	0.001697047121124342	0.0014303364695715053	0.01808456036640564	0.00555981881854919	0.0008327760621091329	0.005927940213381078	1.401298464324817e-47	0.005723925168927053	0.0055112346017267555	0.00011775731250565969	0.024006496302627724	0.0064300393727071995	0.00022633694174828634	0.0216668015284813	0.004087664416001644	0.0016019256901927293
BoChr[11]	1.8943639771595856e-06	0.00018206369727414185	0.0020065323684638516	0.001867166088231247	0.001289378065433818	0.0005026983738306264	6.0672333020521666e-05	0.0032236939576454704	0.004463291100068976	0.0029168271705475803	0.00340229621815016	2.4923828068069994e-06	0.0002993593074761902	2.321989411762093e-06	0.01649855961084584	0.3371411646815898	0.0002308444418294665
BoChr[12]	1.0892856082828084e-06	0.00019273624986247738	0.00635034494322781	0.0037238195493666335	0.00010761404081040607	0.00165215635858047	0.0033944974400339587	0.03860636543703605	0.007573403814491488	0.00011083913771386733	0.012835575927165338	0.01588496641564788	0.01139624722993446	0.10164335842730438	0.00012401449494063853	0.01132152513067922	0.019828265777014166
